property_type,seller_name,price(rs),area_insqft,location
2 BHK Apartment,Doshi Housing,7957670,1106,Karapakkam
3 BHK Apartment,Doshi Housing,11360905,1579,Karapakkam
2 BHK Apartment,Doshi Housing,7835355,1089,Karapakkam
2 BHK Apartment,Doshi Housing,4619190,642,Karapakkam
2 BHK Apartment,Doshi Housing,4504070,626,Karapakkam
3 BHK Apartment,Doshi Housing,11634315,1617,Karapakkam
2 BHK Apartment,Doshi Housing,7101465,987,Karapakkam
2 BHK Apartment,Doshi Housing,7849745,1091,Karapakkam
2 BHK Apartment,Doshi Housing,7928890,1102,Karapakkam
3 BHK Apartment,Doshi Housing,11281760,1568,Karapakkam
1 BHK Villa,DivyaSree Developers,4250106,534,Tiruporur
1 BHK Villa,DivyaSree Developers,4250142,533,Tiruporur
2 BHK Villa,DivyaSree Developers,5450112,1026,Tiruporur
2 BHK Apartment,Ruby Builders,4831400,986,Selaiyur
3 BHK Apartment,Ruby Builders,6438600,1314,Selaiyur
3 BHK Apartment,Ruby Builders,6458200,1318,Selaiyur
3 BHK Apartment,Ruby Builders,6683600,1364,Selaiyur
2 BHK Apartment,Ruby Builders,4811800,982,Selaiyur
2 BHK Apartment,Ruby Builders,4635400,946,Selaiyur
2 BHK Apartment,Ruby Builders,4831400,986,Selaiyur
3 BHK Apartment,NCC Urban Infrastructure Limited,11607692,1509,Sholinganallur
2 BHK Apartment,NCC Urban Infrastructure Limited,8371761,1109,Sholinganallur
2 BHK Apartment,NCC Urban Infrastructure Limited,8100000,1073,Sholinganallur
3 BHK Apartment,NCC Urban Infrastructure Limited,11900000,1547,Sholinganallur
2 BHK Apartment,NCC Urban Infrastructure Limited,11230769,1460,Sholinganallur
4 BHK Villa,Jones Foundations,25000100,2650,Ottiyambakkam
3 BHK Villa,Jones Foundations,12000150,1350,Ottiyambakkam
2 BHK Apartment,Jones Foundations,4500225,1017,Sithalapakkam
3 BHK Apartment,Jones Foundations,5548950,1254,Sithalapakkam
2 BHK Apartment,Jones Foundations,4792275,1083,Sithalapakkam
2 BHK Apartment,Jones Foundations,5000250,1130,Sithalapakkam
2 BHK Apartment,Jones Foundations,4535625,1025,Sithalapakkam
3 BHK Apartment,Jones Foundations,5022375,1135,Sithalapakkam
3 BHK Apartment,Kochar Homes Pvt Ltd,27379675,1807,Velachery
3 BHK Apartment,Kochar Homes Pvt Ltd,27365941,1806,Velachery
3 BHK Apartment,Kochar Homes Pvt Ltd,22957356,1485,Velachery
3 BHK Apartment,Kochar Homes Pvt Ltd,28876672,1916,Velachery
4 BHK Apartment,Kochar Homes Pvt Ltd,34900107,2324,Velachery
2 BHK Apartment,Kochar Homes Pvt Ltd,21694717,1416,Velachery
3 BHK Apartment,Kochar Homes Pvt Ltd,22984824,1487,Velachery
4 BHK Apartment,Kochar Homes Pvt Ltd,36397103,2433,Velachery
3 BHK Apartment,Kochar Homes Pvt Ltd,27613152,1824,Velachery
2 BHK Apartment,Mithun Foundations,4713500,857,Kovilambakkam
3 BHK Apartment,Mithun Foundations,6523000,1186,Kovilambakkam
3 BHK Apartment,Mithun Foundations,7645000,1390,Kovilambakkam
2 BHK Apartment,Mithun Foundations,5016000,912,Kovilambakkam
3 BHK Apartment,Mithun Foundations,6743000,1226,Kovilambakkam
3 BHK Apartment,Mithun Foundations,6242500,1135,Kovilambakkam
4 BHK Apartment,Sidharth Foundation Housing Ltd,14000000,2307,Manapakkam
2 BHK Apartment,Sidharth Foundation Housing Ltd,6800000,1262,Manapakkam
2 BHK Apartment,Sidharth Foundation Housing Ltd,4700000,862,Manapakkam
3 BHK Apartment,Sidharth Foundation Housing Ltd,10500000,1724,Manapakkam
3 BHK Apartment,Sidharth Foundation Housing Ltd,8600000,1394,Manapakkam
3 BHK Villa,MGP Builders and Devlopers,12900000,1354,Sholinganallur
1 BHK Apartment,Roofvest Real Estate LLP,2700000,598,Sholinganallur
2 BHK Apartment,Russel Foundation Pvt Ltd,7338500,1129,Selaiyur
2 BHK Apartment,Russel Foundation Pvt Ltd,7156500,1101,Selaiyur
2 BHK Apartment,VIVA HOUSING,6987500,1075,Pallavaram
2 BHK Apartment,VIVA HOUSING,6435000,990,Pallavaram
2 BHK Apartment,VIVA HOUSING,6240000,960,Pallavaram
2 BHK Apartment,VIVA HOUSING,6890000,1060,Pallavaram
2 BHK Apartment,VIVA HOUSING,7085000,1090,Pallavaram
2 BHK Apartment,VIVA HOUSING,5200000,800,Pallavaram
2 BHK Apartment,VIVA HOUSING,7150000,1100,Pallavaram
2 BHK Apartment,VIVA HOUSING,6922500,1065,Pallavaram
2 BHK Apartment,VIVA HOUSING,5070000,780,Pallavaram
3 BHK Villa,Anugraha Gated Community,9000000,1800,Poonamallee
2 BHK Villa,Anugraha Gated Community,4500000,1200,Poonamallee
2 BHK Apartment,VIVA HOUSING,5548890,1110,Vengaivasal
2 BHK Apartment,VIVA HOUSING,4999000,1000,Vengaivasal
3 BHK Apartment,VIVA HOUSING,7398520,1480,Vengaivasal
3 BHK Apartment,VIVA HOUSING,7248550,1450,Vengaivasal
2 BHK Apartment,VIVA HOUSING,4549090,910,Vengaivasal
2 BHK Apartment,VIVA HOUSING,5490000,900,Kolapakkam
2 BHK Apartment,VIVA HOUSING,5551000,910,Kolapakkam
3 BHK Apartment,VIVA HOUSING,6216000,1110,Pozhichalur
3 BHK Apartment,VIVA HOUSING,5628000,1005,Pozhichalur
3 BHK Villa,MGP Builders and Devlopers,14342100,1320,Sholinganallur
3 BHK Villa,MGP Builders and Devlopers,14342100,1320,Sholinganallur
3 BHK Villa,MGP Builders and Devlopers,11383300,1340,Padur
3 BHK Villa,MGP Builders and Devlopers,11383300,1340,Padur
3 BHK Villa,MGP Builders and Devlopers,11383300,1340,Padur
3 BHK Villa,MGP Builders and Devlopers,11383300,1340,Padur
3 BHK Villa,MGP Builders and Devlopers,9480236,1396,Padur
3 BHK Villa,MGP Builders and Devlopers,9480236,1396,Padur
3 BHK Villa,MGP Builders and Devlopers,9250704,1362,Padur
3 BHK Villa,MGP Builders and Devlopers,9250704,1362,Padur
2 BHK Apartment,KG Foundation,10500628,1228,Mogappair
2 BHK Apartment,KG Foundation,8000330,1027,Mogappair
4 BHK Apartment,KG Foundation,14190240,2040,Mogappair
2 BHK Apartment,Viceroy Foundations,6743250,999,Mugalivakkam
2 BHK Apartment,Viceroy Foundations,6561000,972,Mugalivakkam
2 BHK Apartment,AARRAA HOMES,8235000,915,Kolathur
2 BHK Apartment,Shantiniketan,3564275,997,Kelambakkam
2 BHK Apartment,Shantiniketan,2691975,753,Kelambakkam
3 BHK Apartment,Shantiniketan,4797650,1342,Kelambakkam
2 BHK Apartment,Shantiniketan,3314025,927,Kelambakkam
1 BHK Apartment,Shantiniketan,2495350,698,Kelambakkam
2 BHK Apartment,Shantiniketan,2777775,777,Kelambakkam
1 BHK Apartment,Shantiniketan,2302300,644,Kelambakkam
2 BHK Apartment,Newry Properties P Ltd,6516315,1185,Avadi
3 BHK Apartment,Newry Properties P Ltd,7841574,1426,Avadi
2 BHK Apartment,Newry Properties P Ltd,6543810,1190,Avadi
2 BHK Apartment,Newry Properties P Ltd,6411834,1166,Avadi
